Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
10067,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18169/2025-2026/247264,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,21-Mar-26,JAI AMBEY CONSTRUCTION AND TRADING,Payment Success,250000
10068,Kerala,Purchase of sports equipment,WS/MP353/2025-2026/196084,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Adv Dean Kuriakose,IDUKKI,15-Jul-26,Ewolves Sports and Fitness,Payment Success,299000
10069,Kerala,Purchase of vans and buses for educational institutions,WS/MP351/2025-2026/165971,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,18-Mar-26,THE HEADMASTER PURATHIYIL NEW MOPLA U P,Payment Success,123788
10070,Kerala,Purchase of books and periodicals for libraries/digitization of library books,WS/MP350/2025-2026/239357,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Rajmohan Unnithan,KASARAGOD,14-May-26,DESHABHIMANI PUBLICATIONS,Payment Success,15000
10071,Maharashtra,Construction of boundary walls of existing public and community buildings,WS/MP692/2026-2027/185934,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,30-Jun-26,Omkar Navnath Thorat,Payment Success,994940
10072,Maharashtra,Construction of footpaths and pedestrian ways,WS/MP692/2026-2027/183613,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,30-Jun-26,Omkar Navnath Thorat,Payment Success,497364
10073,Punjab,Development of playground,WS/MP381/2025-2026/228382,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,20-Mar-26,bhillowal traders,Payment Success,95900
10074,Punjab,Development of playground,WS/MP381/2025-2026/228382,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,20-Mar-26,ARORA PAINT STORE,Payment Success,22850
10075,Punjab,Development of playground,WS/MP381/2025-2026/228382,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,20-Mar-26,AKASHDEEP,Payment Success,81250
10076,Punjab,Installing tube-wells and borewells,WS/MP381/2025-2026/254861,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,19-Mar-26,NIJJAR BUILING MATERIAL,Payment Success,94000
10077,Punjab,Installing tube-wells and borewells,WS/MP381/2025-2026/254861,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,19-Mar-26,JIMMY PLYWOOD AND HARDWARE,Payment Success,49070
10078,Punjab,Installing tube-wells and borewells,WS/MP381/2025-2026/254861,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,19-Mar-26,SARWAN,Payment Success,56930
10079,Meghalaya,Construction of rooms and halls in school and colleges,WS/MP18137/2026-2027/158689,"EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)",ANDREW J. SYNGKON,SHILLONG,20-May-26,DANNY LANGSTIEH,Payment Success,250000
10080,Meghalaya,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18137/2025-2026/234004,"EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)",ANDREW J. SYNGKON,SHILLONG,23-Mar-26,DANNY LANGSTIEH,Payment Success,200000
10081,Jammu And Kashmir,Construction of common work sheds/ common covered sitting area,WS/MP331/2025-2026/189808,JAMMU(DEPUTY COMMISSIONER JAMMU_IDA),Shri Jugal Kishore Sharma,JAMMU,15-Apr-26,VIPAN KUMAR CONTRACTOR,Payment Success,519000
10082,Maharashtra,Construction of boundary walls of existing public and community buildings,WS/MP18127/2026-2027/188391,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),RAJABHAU,NASHIK,14-May-26,AMIT ANIL MUDBAKHE,Payment Success,1426075
10083,Punjab,Construction of community centers and community halls,WS/MP18158/2025-2026/238958,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,25-Mar-26,KARAMJIT KAUR SARPANCH BATTA,Payment Success,72597
10084,Kerala,Purchase of books and periodicals for libraries/digitization of library books,WS/MP350/2025-2026/239357,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Rajmohan Unnithan,KASARAGOD,14-May-26,INDIA BOOK STORES,Payment Success,30114
10085,Tamil Nadu,Construction of public irrigation facilities,WS/MP18265/2025-2026/240814,CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA),M.K. VISHNUPRASAD,CUDDALORE,15-May-26,BASKARAN S,Payment Success,498844
10086,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18004/2025-2026/197635,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,ARAKU(ST),26-Mar-26,The VLC Chairman Devarapalli Baski,Payment Success,487465
10087,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18004/2025-2026/197636,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,ARAKU(ST),26-Mar-26,The VLC Chairman Devarapalli Baski,Payment Success,487427
10088,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18004/2025-2026/197637,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,ARAKU(ST),26-Mar-26,The VLC Chairman Devarapalli Baski,Payment Success,487259
10089,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18157/2025-2026/239560,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),AMRINDER SINGH RAJA WARRING,LUDHIANA,20-Mar-26,SARABJEET SNGH HARBANS SINGH,Payment Success,33000
10090,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/231882,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,27-Mar-26,Ritesh soni,Payment Success,30000
10091,Tamil Nadu,Construction of community centers and community halls,WS/MP393/2025-2026/206432,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),Shri Karti P Chidambaram,SIVAGANGA,15-May-26,Bose,Payment Success,698766
10092,Tamil Nadu,Construction of community centers and community halls,WS/MP393/2025-2026/206431,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),Shri Karti P Chidambaram,SIVAGANGA,25-Mar-26,Bose,Payment Success,699305
10093,Madhya Pradesh,Improvement of electricity distribution infrastructure,WS/MP18107/2025-2026/258142,JHABUA(DISTRICT COLLECTOR JHABUA_IDA),ANITA NAGARSINGH CHOUHAN,RATLAM(ST),17-Mar-26,Gram Panchayat Phool Dhawadi,Payment Success,232613
10094,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/231882,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,27-Mar-26,Satya sai Traders,Payment Success,100000
10095,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/231882,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,25-Jun-26,Satya sai Traders,Payment Success,320000
10096,Tripura,Development of playfields and sports grounds,WS/MP18197/2026-2027/273223,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),BIPLAB KUMAR DEB,TRIPURA WEST,28-Jul-26,Tripura School Sports Board,Payment Success,730129
10097,Gujarat,Construction of footpaths and pedestrian ways,WS/MP18055/2025-2026/179930,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,24-Mar-26,Sarpanch Gram Panchayat Khanpur,Payment Success,100000
10098,Tamil Nadu,Construction of rooms and halls in school and colleges,WS/MP18180/2025-2026/204508,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),ARUN NEHRU,PERAMBALUR,18-Mar-26,BOTHI RAMAKRISHNAN S,Payment Success,176353
10099,Maharashtra,Construction of community centers and community halls,WS/MP18118/2025-2026/252883,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),23-Apr-26,Dattatray Damodar Niphade,Payment Success,963785
10100,Maharashtra,Development of public parks,WS/MP18118/2025-2026/252884,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),24-Mar-26,Dattatray Damodar Niphade,Payment Success,936103
10101,Tamil Nadu,Construction of buildings for community cultural activities,WS/MP747/2026-2027/214843,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Manickam Tagore B,VIRUDHUNAGAR,14-May-26,S IMMANUVEL,Payment Success,999085
10102,Tamil Nadu,Construction of buildings for community cultural activities,WS/MP747/2025-2026/214889,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Manickam Tagore B,VIRUDHUNAGAR,17-Mar-26,S IMMANUVEL,Payment Success,999358
10103,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18021/2025-2026/267282,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,19-Mar-26,Simulbari Anchalik,Payment Success,300000
10104,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP692/2026-2027/185183,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,24-Jun-26,KHAIRE SHAILESH BABAN,Payment Success,995482
10105,Assam,Construction of culverts and bridges,WS/MP18026/2025-2026/241742,CHIRANG(Deputy Commissioner Chirang_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),18-Mar-26,BIJIT BRAHMA,Payment Success,1125000
10106,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18009/2024-2025/176257,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),B K PARTHASARATHI,HINDUPUR,11-Apr-26,SOMANA BOYANA VENKATA CHALAPATHI,Payment Success,481436
10107,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18076/2025-2026/217255,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,23-Mar-26,PRAJWAL K,Payment Success,375000
10108,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18076/2025-2026/217255,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,30-Jun-26,PRAJWAL K,Payment Success,124815
10109,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2026-2027/299805,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,19-Aug-26,Sangeet Contractor,Payment Success,499967
10110,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/261190,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,18-Mar-26,Sangeet Contractor,Payment Success,499933
10111,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2026-2027/278593,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,19-Jun-26,Sangeet Contractor,Payment Success,316429
10112,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/273318,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,16-Apr-26,Sangeet Contractor,Payment Success,149099
10113,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/273316,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,16-Apr-26,Sangeet Contractor,Payment Success,249575
10114,Rajasthan,Installing tube-wells and borewells,WS/MP18167/2025-2026/260075,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,18-Mar-26,Sangeet Contractor,Payment Success,599920
10115,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18152/2024-2025/140034,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),15-Apr-26,Gurpreet Steel Seetring store,Payment Success,22940
10116,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235935,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Gagandeep Singh Sidhu,Payment Success,46900
10117,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235930,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Gagandeep Singh Sidhu,Payment Success,27720
10118,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235936,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Bikramjit Singh,Payment Success,48048
10119,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235934,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Bikramjit Singh,Payment Success,27720
10120,Odisha,Construction of rooms and halls in school and colleges,WS/MP18310/2025-2026/239526,Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA),AVIMANYU SETHI,BHADRAK(SC),19-Mar-26,GANESH CHANDRA SAHU,Payment Success,500000
10121,Punjab,Construction of toilet blocks,WS/MP381/2025-2026/257664,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,24-Mar-26,LOVEJEET SINGH,Payment Success,120000
10122,Kerala,Construction of footpaths and pedestrian ways,WS/MP18305/2026-2027/182588,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,24-Jun-26,SHEMEER M,Payment Success,307420
10123,Meghalaya,Development of playfields and sports grounds,WS/MP18137/2025-2026/232565,"EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)",ANDREW J. SYNGKON,SHILLONG,14-Apr-26,DORBAR SHNONG MAWPAT PYLLUN,Payment Success,400000
10124,Uttarakhand,Construction of community centers and community halls,WS/MP18415/2025-2026/214989,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),TRIVENDRA SINGH RAWAT,HARDWAR,23-Mar-26,Jai laxmi construction,Payment Success,471553
10125,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,R SS CEMENT STORE,Payment Success,22200
10126,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,BATRA TREADING COMPANY,Payment Success,99739
10127,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,KISHAN RAM,Payment Success,22638
10128,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),08-Jul-26,KISHAN RAM,Payment Success,30184
10129,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,AVTAR TREADING COMPANY,Payment Success,20850
10130,Punjab,Construction of community centers and community halls,WS/MP18154/2025-2026/216483,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,19-Jun-26,Seetal Singh and Sons,Payment Success,482322
10131,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18156/2025-2026/213128,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),13-Apr-26,HUNDAL TREADING COMPANY,Payment Success,43150
10132,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18156/2025-2026/213128,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),13-Apr-26,HUNDAL TREADING COMPANY,Payment Success,35900
10133,Tamil Nadu,Construction of additional rooms and halls in the existing public and community building,WS/MP751/2025-2026/176690,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),S Venkatesan,MADURAI,26-Mar-26,Bavithira Builders,Payment Success,999902
10134,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/265006,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),27-Apr-26,Pardeep Singh Massn,Payment Success,7500
10135,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/265006,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),24-Mar-26,Pardeep Singh Massn,Payment Success,7500
10136,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,24-Mar-26,Guru Nanak Cement Store Kahangarh,Payment Success,15225
10137,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,24-Mar-26,Darshan Kumar,Payment Success,62500
10138,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,24-Mar-26,Darshan Kumar,Payment Success,12500
10139,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151425,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10140,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151424,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10141,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151422,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10142,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151420,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10143,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151414,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10144,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151408,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10145,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151406,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10146,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151404,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10147,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151402,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10148,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151400,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10149,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151396,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10150,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151395,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10151,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151392,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10152,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151393,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10153,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151394,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10154,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151397,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10155,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151398,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10156,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151399,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10157,Madhya Pradesh,Improvement of electricity distribution infrastructure,WS/MP18107/2025-2026/258131,JHABUA(DISTRICT COLLECTOR JHABUA_IDA),ANITA NAGARSINGH CHOUHAN,RATLAM(ST),23-Mar-26,Gram Panchayat Uberao,Payment Success,415784
10158,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18320/2025-2026/175626,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),GENIBEN NAGAJI THAKOR,BANASKANTHA,09-Apr-26,RAH GRUP GRAM PANCHAYAT,Payment Success,500000
10159,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2026-2027/236413,CHHATARPUR(District Collector Chhatarpur_IDA),Virendra Kumar,TIKAMGARH(SC),09-Apr-26,GRAM PANCHAYAT MATODHA CHOUBAN,Payment Success,124582
10160,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18055/2025-2026/221991,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,20-Mar-26,MALAV GRAM PANCHAYAT,Payment Success,300000
10161,Gujarat,Construction of footpaths and pedestrian ways,WS/MP18055/2025-2026/221993,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,14-May-26,MALAV GRAM PANCHAYAT,Payment Success,200000
10162,Tamil Nadu,Street lights,WS/MP393/2025-2026/167700,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),Shri Karti P Chidambaram,SIVAGANGA,24-Mar-26,GOPALAKRISHNAN,Payment Success,700000
10163,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18055/2025-2026/176634,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,20-Mar-26,PARUNA GRAM PANCHAYAT,Payment Success,200000
10164,Maharashtra,Construction of buildings for community cultural activities,WS/MP18132/2025-2026/174565,SANGLI(DISTRICT COLLECTOR SANGLI_IDA),VISHAL,SANGLI,23-Mar-26,SHRIMAN ABASAHEB MAZUR SAHKARI SOCIETY LTD MHAISAL,Payment Success,1000000
10165,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP429/2025-2026/242642,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,14-Jul-26,CEO JP Pali sansad mad 18th,Payment Success,125000
10166,Chhattisgarh,Construction of buildings for community cultural activities,WS/MP429/2025-2026/198905,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,07-Aug-26,CEO JP Pali sansad mad 18th,Payment Success,175000
10167,Kerala,Purchase of vans and buses for educational institutions,WS/MP18095/2025-2026/139279,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,ALAPPUZHA,17-Mar-26,SARATH S R,Payment Success,56755
10168,Maharashtra,Construction of community centers and community halls,WS/MP18113/2025-2026/202192,Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,16-Mar-26,ch gayatri mss ltd at bhildari tq kannad,Payment Success,1000000
10169,Maharashtra,Construction of public libraries and reading rooms,WS/MP18119/2026-2027/163438,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),18-Jun-26,LAKSHMINARAYAN MAJUR SAHKARI SANSTHA MARYADIT,Payment Success,1398856
10170,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18021/2025-2026/267291,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,11-Aug-26,Jaleswer higher secondary school,Payment Success,200000
10171,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18021/2025-2026/267291,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,19-Mar-26,Jaleswer higher secondary school,Payment Success,300000
